rank,record_id,extension_id,extension_name,old_version,new_version,packet_path,blind_review,review_status
53,firefoxbar_headereditor_5_2_10_to_5_2_11,github:firefoxbar/headereditor,HeaderEditor,5.2.10,5.2.11,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_10_to_5_2_11.json,True,INITIAL_REVIEW_PENDING
54,firefoxbar_headereditor_5_2_11_to_5_2_12,github:firefoxbar/headereditor,HeaderEditor,5.2.11,5.2.12,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_11_to_5_2_12.json,True,INITIAL_REVIEW_PENDING
55,firefoxbar_headereditor_5_2_7_to_5_2_8,github:firefoxbar/headereditor,HeaderEditor,5.2.7,5.2.8,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_7_to_5_2_8.json,True,INITIAL_REVIEW_PENDING
56,firefoxbar_headereditor_5_2_8_to_5_2_9,github:firefoxbar/headereditor,HeaderEditor,5.2.8,5.2.9,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_8_to_5_2_9.json,True,INITIAL_REVIEW_PENDING
57,firefoxbar_headereditor_5_2_9_to_5_2_10,github:firefoxbar/headereditor,HeaderEditor,5.2.9,5.2.10,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_9_to_5_2_10.json,True,INITIAL_REVIEW_PENDING
58,browserpass_browserpass_extension_3_10_1_to_3_10_2,github:browserpass/browserpass-extension,Browserpass,3.10.1,3.10.2,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_10_1_to_3_10_2.json,True,INITIAL_REVIEW_PENDING
59,keepassxc_browser_1_10_0_1_to_1_10_1,github:keepassxreboot/keepassxc-browser,KeePassXC-Browser,1.10.0.1,1.10.1,artifacts/driftbench/phase3h5/review_packets/keepassxc_browser_1_10_0_1_to_1_10_1.json,True,INITIAL_REVIEW_PENDING
60,ruffle_rs_ruffle_0_5_0_to_nightly_2026_08_04,github:ruffle-rs/ruffle,Ruffle Web Extension,0.5.0,nightly-2026-08-04,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_0_5_0_to_nightly_2026_08_04.json,True,INITIAL_REVIEW_PENDING
61,ruffle_rs_ruffle_nightly_2026_08_05_to_nightly_2026_08_06,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-05,nightly-2026-08-06,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_05_to_nightly_2026_08_06.json,True,INITIAL_REVIEW_PENDING
62,ruffle_rs_ruffle_nightly_2026_08_06_to_nightly_2026_08_08,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-06,nightly-2026-08-08,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_06_to_nightly_2026_08_08.json,True,INITIAL_REVIEW_PENDING
63,ruffle_rs_ruffle_nightly_2026_08_08_to_nightly_2026_08_09,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-08,nightly-2026-08-09,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_08_to_nightly_2026_08_09.json,True,INITIAL_REVIEW_PENDING
64,ruffle_rs_ruffle_nightly_2026_08_09_to_nightly_2026_08_10,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-09,nightly-2026-08-10,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_09_to_nightly_2026_08_10.json,True,INITIAL_REVIEW_PENDING
65,ruffle_rs_ruffle_nightly_2026_08_10_to_nightly_2026_08_11,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-10,nightly-2026-08-11,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_10_to_nightly_2026_08_11.json,True,INITIAL_REVIEW_PENDING
66,sponsorblock_6_1_4_to_6_1_5,github:ajayyy/sponsorblock,SponsorBlock,6.1.4,6.1.5,artifacts/driftbench/phase3h5/review_packets/sponsorblock_6_1_4_to_6_1_5.json,True,INITIAL_REVIEW_PENDING
67,sponsorblock_6_1_5_to_6_1_6,github:ajayyy/sponsorblock,SponsorBlock,6.1.5,6.1.6,artifacts/driftbench/phase3h5/review_packets/sponsorblock_6_1_5_to_6_1_6.json,True,INITIAL_REVIEW_PENDING
68,sponsorblock_6_1_6_to_6_1_7,github:ajayyy/sponsorblock,SponsorBlock,6.1.6,6.1.7,artifacts/driftbench/phase3h5/review_packets/sponsorblock_6_1_6_to_6_1_7.json,True,INITIAL_REVIEW_PENDING
69,ublock_origin_1_72_0_to_1_72_2,github:gorhill/ublock,uBlock Origin,1.72.0,1.72.2,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_72_0_to_1_72_2.json,True,INITIAL_REVIEW_PENDING
70,libredirect_browser_extension_3_0_2_to_3_1_0,github:libredirect/browser_extension,LibRedirect,3.0.2,3.1.0,artifacts/driftbench/phase3h5/review_packets/libredirect_browser_extension_3_0_2_to_3_1_0.json,True,INITIAL_REVIEW_PENDING
71,libredirect_browser_extension_3_1_0_to_3_2_0,github:libredirect/browser_extension,LibRedirect,3.1.0,3.2.0,artifacts/driftbench/phase3h5/review_packets/libredirect_browser_extension_3_1_0_to_3_2_0.json,True,INITIAL_REVIEW_PENDING
72,libredirect_browser_extension_3_2_0_to_3_3_0,github:libredirect/browser_extension,LibRedirect,3.2.0,3.3.0,artifacts/driftbench/phase3h5/review_packets/libredirect_browser_extension_3_2_0_to_3_3_0.json,True,INITIAL_REVIEW_PENDING
73,libredirect_browser_extension_3_3_0_to_3_4_0,github:libredirect/browser_extension,LibRedirect,3.3.0,3.4.0,artifacts/driftbench/phase3h5/review_packets/libredirect_browser_extension_3_3_0_to_3_4_0.json,True,INITIAL_REVIEW_PENDING
74,refined_github_26_5_24_to_26_6_1,github:refined-github/refined-github,Refined GitHub,26.5.24,26.6.1,artifacts/driftbench/phase3h5/review_packets/refined_github_26_5_24_to_26_6_1.json,True,INITIAL_REVIEW_PENDING
75,violentmonkey_2_46_0_to_2_47_0,github:violentmonkey/violentmonkey,Violentmonkey,2.46.0,2.47.0,artifacts/driftbench/phase3h5/review_packets/violentmonkey_2_46_0_to_2_47_0.json,True,INITIAL_REVIEW_PENDING
76,save_tabbed_images_0_5_0_to_0_6_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.5.0,0.6.0,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_5_0_to_0_6_0.json,True,INITIAL_REVIEW_PENDING
