record_id,provenance_id,extension_id,extension_name,old_version,new_version,old_timestamp,new_timestamp,label,label_source,label_review_status,label_quality_tier,eligible_for_supervised_training,source,source_type,is_controlled,controlled_mutation_type,functional_category,split,added_permission_count,removed_permission_count,added_sensitive_permission_count,removed_sensitive_permission_count,permission_risk_delta,critical_permission_added,high_permission_added,optional_permission_change_count,host_count_delta,added_host_count,host_scope_score_delta,wildcard_host_introduced,all_urls_introduced,content_script_changed,service_worker_introduced,externally_connectable_changed,web_accessible_resource_change_count,csp_changed,permission_count_delta,file_count_delta,package_size_delta_bytes,js_file_count_delta,api_count_delta,network_destination_count_delta,obfuscation_count_delta,function_count_delta,added_api_count,critical_api_added,new_external_network_count,new_local_network_count,plain_http_addition_count,decoded_endpoint_addition_count,hardcoded_ip_addition_count,added_obfuscation_score,dynamic_execution_added_count,added_function_count,added_event_listener_count,source_sink_flow_count,modified_file_count,api_analyzer_available,network_analyzer_available,obfuscation_analyzer_available,structure_analyzer_available
katex-github-chrome-extension_0_1_0_to_0_2_0,open_source_repository:katex-github-chrome-extension_0_1_0_to_0_2_0,github:aaroncql/katex-github-chrome-extension,GitHub Math Display,0.1.0,0.2.0,2020-07-28T11:27:51Z,2020-07-30T07:28:06Z,risky_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/AaronCQL/katex-github-chrome-extension,open_source_repository,False,,math_rendering,test,1,0,0,0,10,0,0,0,1,1,90,1,0,1,1,0,1,0,1,4,-315362,3,-25,643,17,-90,1,0,822,0,0,0,0,530,1,62,2,0,2,1,1,1,1
subtidex_1_5_0_to_1_5_1,open_source_repository:subtidex_1_5_0_to_1_5_1,github:yniijia/subtidex,SubtideX,1.5.0,1.5.1,2026-05-23T18:06:57Z,2026-05-28T06:44:00Z,benign_transition,repository_documented_change,reviewed,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/yniijia/SubtideX,open_source_repository,False,,video_captioning,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3440,0,0,-1,1,11,0,0,15,0,0,0,0,30,1,12,0,2,2,1,1,1,1
save_tabbed_images_0_4_0_to_0_4_1,open_source_repository:save_tabbed_images_0_4_0_to_0_4_1,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.0,0.4.1,2015-12-07T03:55:38Z,2016-04-22T04:38:22Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-591294,0,-5,122,5,-452,0,0,206,0,0,0,0,180,1,19,2,0,4,1,1,1,1
save_tabbed_images_0_4_1_to_0_5_0,open_source_repository:save_tabbed_images_0_4_1_to_0_5_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.1,0.5.0,2016-04-22T04:38:22Z,2016-04-25T00:19:08Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46460,0,0,127,5,3,0,0,292,0,5,0,0,250,1,21,4,0,2,1,1,1,1
save_tabbed_images_0_5_0_to_0_6_0,open_source_repository:save_tabbed_images_0_5_0_to_0_6_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.5.0,0.6.0,2016-04-25T00:19:08Z,2016-11-08T01:51:31Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1
save_tabbed_images_0_6_0_to_0_7_0,open_source_repository:save_tabbed_images_0_6_0_to_0_7_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.6.0,0.7.0,2016-11-08T01:51:31Z,2019-07-20T21:03:15Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-10660,0,0,22,3,0,0,0,40,0,0,0,0,190,1,0,0,0,4,1,1,1,1
save-sora_2_0_196_to_2_0_355,open_source_repository:save-sora_2_0_196_to_2_0_355,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.196,2.0.355,2026-04-16T01:26:19Z,2026-04-24T03:27:26Z,risky_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,4655469,0,2,1052,-8,331,2,0,1343,0,0,0,0,295,0,1288,36,1,4,1,1,1,1
save-sora_2_0_355_to_3_0_0,open_source_repository:save-sora_2_0_355_to_3_0_0,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.355,3.0.0,2026-04-24T03:27:26Z,2026-04-24T03:30:29Z,uncertain,single_reviewer_provisional,provisional,UNCERTAIN,False,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,1,0,0,0,0,0,0,295,0,1239,35,1,2,1,1,1,1
save-sora_3_0_0_to_3_0_10,open_source_repository:save-sora_3_0_0_to_3_0_10,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,3.0.0,3.0.10,2026-04-24T03:30:29Z,2026-04-24T04:30:35Z,uncertain,single_reviewer_provisional,provisional,UNCERTAIN,False,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690,0,1,5,-1,14,3,0,470,0,0,0,0,280,0,1269,36,2,3,1,1,1,1
screenity_4_5_0_to_4_5_1,open_source_repository:screenity_4_5_0_to_4_5_1,github:alyssaxuu/screenity,Screenity,4.5.0,4.5.1,2026-06-09T14:31:57Z,2026-06-09T22:10:27Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/alyssaxuu/screenity,open_source_repository,False,,screen_recording,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77299,0,0,-756,-5,-23,0,0,38,0,0,0,0,0,0,18,2,9,9,1,1,1,1
ublock_origin_1_70_0_to_1_71_0,open_source_repository:ublock_origin_1_70_0_to_1_71_0,github:gorhill/ublock,uBlock Origin,1.70.0,1.71.0,2026-03-11T00:48:44Z,2026-05-11T16:41:12Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/gorhill/uBlock,open_source_repository,False,,content_blocking,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217354,1,1,-7,0,6,0,0,16,0,0,0,0,95,0,6,1,3,48,1,1,1,1
ublock_origin_1_71_0_to_1_72_0,open_source_repository:ublock_origin_1_71_0_to_1_72_0,github:gorhill/ublock,uBlock Origin,1.71.0,1.72.0,2026-05-11T16:41:12Z,2026-06-28T19:56:38Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/gorhill/uBlock,open_source_repository,False,,content_blocking,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463305,0,-1,12,1,17,0,0,10,0,0,0,0,75,0,20,1,3,86,1,1,1,1
ublock_origin_1_72_0_to_1_72_2,open_source_repository:ublock_origin_1_72_0_to_1_72_2,github:gorhill/ublock,uBlock Origin,1.72.0,1.72.2,2026-06-28T19:56:38Z,2026-07-08T12:39:57Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/gorhill/uBlock,open_source_repository,False,,content_blocking,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,1,1,1
ublock_origin_1_72_2_to_1_73_0,open_source_repository:ublock_origin_1_72_2_to_1_73_0,github:gorhill/ublock,uBlock Origin,1.72.2,1.73.0,2026-07-08T12:39:57Z,2026-08-05T14:25:52Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/gorhill/uBlock,open_source_repository,False,,content_blocking,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,289243,3,0,-3,0,3,0,0,5,0,0,0,0,45,1,9,2,3,65,1,1,1,1
sponsorblock_6_1_3_to_6_1_4,open_source_repository:sponsorblock_6_1_3_to_6_1_4,github:ajayyy/sponsorblock,SponsorBlock,6.1.3,6.1.4,2026-03-29T06:38:31Z,2026-04-17T06:43:47Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/ajayyy/SponsorBlock,open_source_repository,False,,video_enhancement,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30943,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,38,1,1,1,1
sponsorblock_6_1_4_to_6_1_5,open_source_repository:sponsorblock_6_1_4_to_6_1_5,github:ajayyy/sponsorblock,SponsorBlock,6.1.4,6.1.5,2026-04-17T06:43:47Z,2026-04-21T06:21:56Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/ajayyy/SponsorBlock,open_source_repository,False,,video_enhancement,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,1,1,1,1
sponsorblock_6_1_5_to_6_1_6,open_source_repository:sponsorblock_6_1_5_to_6_1_6,github:ajayyy/sponsorblock,SponsorBlock,6.1.5,6.1.6,2026-04-21T06:21:56Z,2026-06-26T16:32:44Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/ajayyy/SponsorBlock,open_source_repository,False,,video_enhancement,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13598,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,1,17,1,1,1,1
sponsorblock_6_1_6_to_6_1_7,open_source_repository:sponsorblock_6_1_6_to_6_1_7,github:ajayyy/sponsorblock,SponsorBlock,6.1.6,6.1.7,2026-06-26T16:32:44Z,2026-07-13T16:50:43Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/ajayyy/SponsorBlock,open_source_repository,False,,video_enhancement,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7229,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,4,1,12,1,1,1,1
duckduckgo_privacy_2025_11_3_to_2025_12_12,open_source_repository:duckduckgo_privacy_2025_11_3_to_2025_12_12,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.11.3,2025.12.12,2025-11-03T10:35:56Z,2025-12-12T22:11:32Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/duckduckgo/duckduckgo-privacy-extension,open_source_repository,False,,privacy,train,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,-551078,-1,0,37,0,8,0,0,44,0,0,0,0,95,2,9,0,5,29,1,1,1,1
duckduckgo_privacy_2025_12_12_to_2025_12_14,open_source_repository:duckduckgo_privacy_2025_12_12_to_2025_12_14,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.12.12,2025.12.14,2025-12-12T22:11:32Z,2025-12-14T11:20:55Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/duckduckgo/duckduckgo-privacy-extension,open_source_repository,False,,privacy,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11043,0,0,3,0,17,0,0,3,0,0,0,0,105,2,17,0,5,5,1,1,1,1
duckduckgo_privacy_2025_12_14_to_2026_1_12,open_source_repository:duckduckgo_privacy_2025_12_14_to_2026_1_12,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.12.14,2026.1.12,2025-12-14T11:20:55Z,2026-01-12T10:08:31Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/duckduckgo/duckduckgo-privacy-extension,open_source_repository,False,,privacy,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-443277,0,0,-180,0,5,0,0,9,0,0,0,0,170,3,5,0,5,8,1,1,1,1
duckduckgo_privacy_2026_1_12_to_2026_4_28,open_source_repository:duckduckgo_privacy_2026_1_12_to_2026_4_28,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2026.1.12,2026.4.28,2026-01-12T10:08:31Z,2026-04-28T11:30:01Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/duckduckgo/duckduckgo-privacy-extension,open_source_repository,False,,privacy,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-854742,1,6,-1278,-2,-222,1,0,571,0,0,0,0,4300,14,110,6,6,48,1,1,1,1
